committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,30G,202212089557189117,23,75C537A6E9352BCC1B6,1671411,CCM,CAMPAIGN COMMITTEE,C00289603,C00289603,LOFGREN FOR CONGRESS,CA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 8/8/22 DISBURSEMENT,,,2022-10-31 0:00:00,-5000,H,HOUSE,18,H4CA16049,"LOFGREN, ZOE",ZOE,LOFGREN,,,,CA,CALIFORNIA,G2022,,GENERAL,2022,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-18 6:21:38,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4120920221633755305,SAN JOSE,95126,CONTRIBUTIONS,,2022,SB,4011720231699468279,https://docquery.fec.gov/cgi-bin/fecimg/?202212089557189117,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613393,23,FD3B74A7F738DB96897,1562724,CCM,CAMPAIGN COMMITTEE,C00670547,C00670547,ARMSTRONG FOR CONGRESS,ND,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 10/19/20 DISBURSEMENT,,,2021-11-30 0:00:00,-5000,H,HOUSE,1,H8ND00096,"ARMSTRONG, KELLY M.",KELLY,ARMSTRONG,M.,,,ND,NORTH DAKOTA,G2020,,GENERAL,2020,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:08,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,BISMARCK,58503,CONTRIBUTIONS,,2022,SB,4020220221404097787,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613393,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613447,23,565E693BAE7D9515B7B,1562724,PAC,POLITICAL ACTION COMMITTEE,C00459925,C00459925,MURPHPAC,DC,MURPHPAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 12/17/20 DISBURSEMENT,,,2021-11-30 0:00:00,-5000,,,,,,,,,,,,,P2020,CONTRIBUTION,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,WASHINGTON,20003,CONTRIBUTIONS,,2022,SB,4020220221404097949,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613447,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M8,202208119525263330,23,AFFC0AE538597C902A1,1623070,PAC,POLITICAL ACTION COMMITTEE,C00631051,C00631051,ABRAHAM LINCOLN PAC,GA,ABRAHAM LINCOLN PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 12/6/21 DISBURSEMENT,,,2022-07-11 0:00:00,-5000,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,A,ADD,ITEMIZED DISBURSEMENTS,2022-08-13 3:34:27,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4081120221563943055,ATHENS,30605,CONTRIBUTIONS,,2022,SB,4081220221564732205,https://docquery.fec.gov/cgi-bin/fecimg/?202208119525263330,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M8,202208119525263331,23,BB2C7AB192D6811E352,1623070,PAC,POLITICAL ACTION COMMITTEE,C00483487,C00483487,BRETTPAC-THE LEADERSHIP PAC OF U.S.REPRESENATIVE BRETT GUTHRIE,KY,BRETTPAC-THE LEADERSHIP PAC OF U.S.REPRESENATIVE BRETT GUTHRIE,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 12/8/21 DISBURSEMENT,,,2022-07-11 0:00:00,-5000,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,A,ADD,ITEMIZED DISBURSEMENTS,2022-08-13 3:34:27,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4081120221563943055,ELIZABETHTOWN,427019168,CONTRIBUTIONS,,2022,SB,4081220221564732208,https://docquery.fec.gov/cgi-bin/fecimg/?202208119525263331,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M8,202208119525263332,23,0F0CEE90E91B684609B,1623070,PAC,POLITICAL ACTION COMMITTEE,C00147512,C00147512,CONGRESSIONAL BLACK CAUCUS PAC,DC,CONGRESSIONAL BLACK CAUCUS PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 2/25/22 DISBURSEMENT,,,2022-07-11 0:00:00,-5000,,,,,,,,,,,,,P2022,CONTRIBUTION,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-08-13 3:34:27,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4081120221563943055,WASHINGTON,20033,CONTRIBUTIONS,,2022,SB,4081220221564732213,https://docquery.fec.gov/cgi-bin/fecimg/?202208119525263332,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M8,202208119525263335,23,0065395B64892512378,1623070,PAC,POLITICAL ACTION COMMITTEE,C00657262,C00657262,GO PAC GO,GA,GO PAC GO,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/30/21 DISBURSEMENT,,,2022-07-11 0:00:00,-5000,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,A,ADD,ITEMIZED DISBURSEMENTS,2022-08-13 3:34:27,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4081120221563943055,ATHENS,30605,CONTRIBUTIONS,,2022,SB,4081220221564732220,https://docquery.fec.gov/cgi-bin/fecimg/?202208119525263335,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M8,202208119525263336,23,F6D2A85AA5D813A114F,1623070,PAC,POLITICAL ACTION COMMITTEE,C00485540,C00485540,LEADERSHIP FOR AMERICA TODAY TOMORROW AND ALWAYS PAC,OH,LEADERSHIP FOR AMERICA TODAY TOMORROW AND ALWAYS PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 12/8/21 DISBURSEMENT,,,2022-07-11 0:00:00,-5000,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,A,ADD,ITEMIZED DISBURSEMENTS,2022-08-13 3:34:27,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4081120221563943055,DUBLIN,43017,CONTRIBUTIONS,,2022,SB,4081220221564732223,https://docquery.fec.gov/cgi-bin/fecimg/?202208119525263336,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M8,202208119525263337,23,2C5BD7E0B89FC300722,1623070,PAC,POLITICAL ACTION COMMITTEE,C00573493,C00573493,RESTORING OUR DEMOCRACY (ROD PAC),DC,RESTORING OUR DEMOCRACY (ROD PAC),,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/30/21 DISBURSEMENT,,,2022-07-11 0:00:00,-5000,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,A,ADD,ITEMIZED DISBURSEMENTS,2022-08-13 3:34:27,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4081120221563943055,WASHINGTON,200034016,CONTRIBUTIONS,,2022,SB,4081220221564732226,https://docquery.fec.gov/cgi-bin/fecimg/?202208119525263337,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M8,202208119525263338,23,F59391B4C7A41201DF0,1623070,PAC,POLITICAL ACTION COMMITTEE,C00481531,C00481531,TEXAS REPUBLICANS UNITED POLITICAL ACTION COMMITTEE (TRU PAC),TX,TEXAS REPUBLICANS UNITED POLITICAL ACTION COMMITTEE (TRU PAC),,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 12/6/21 DISBURSEMENT,,,2022-07-11 0:00:00,-5000,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,A,ADD,ITEMIZED DISBURSEMENTS,2022-08-13 3:34:27,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4081120221563943055,AUSTIN,78701,CONTRIBUTIONS,,2022,SB,4081220221564732231,https://docquery.fec.gov/cgi-bin/fecimg/?202208119525263338,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M8,202208119525263341,23,89F7744159D3254915A,1623070,PAC,POLITICAL ACTION COMMITTEE,C00706176,C00706176,YOUR OHIO REPUBLICAN TEAM,MD,YOUR OHIO REPUBLICAN TEAM,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 12/6/21 DISBURSEMENT,,,2022-07-11 0:00:00,-5000,,,,,,,,,,,,,P2021,CONTRIBUTION,PRIMARY,2021,A,ADD,ITEMIZED DISBURSEMENTS,2022-08-13 3:34:27,,,,0,,,,11,Political Contributions,,,,,,,H,,P,F3X,4081120221563943055,BETHESDA,20824,CONTRIBUTIONS,,2022,SB,4081220221564732238,https://docquery.fec.gov/cgi-bin/fecimg/?202208119525263341,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M9,202209199528517771,23,FE29E5AB7220E5E398B,1630409,CCM,CAMPAIGN COMMITTEE,C00392688,C00392688,"MCCAUL FOR CONGRESS, INC",TX,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/30/21 DISBURSEMENT,,,2022-08-09 0:00:00,-3000,H,HOUSE,10,H4TX10093,"MCCAUL, MICHAEL THOMAS SR.",MICHAEL,MCCAUL,THOMAS,,SR.,TX,TEXAS,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-09-20 3:36:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4091920221576021136,AUSTIN,78701,CONTRIBUTIONS,,2022,SB,4091920221576057152,https://docquery.fec.gov/cgi-bin/fecimg/?202209199528517771,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613450,23,79C7EBF1FDD4C1BB322,1562724,CCM,CAMPAIGN COMMITTEE,C00226928,C00226928,PALLONE FOR CONGRESS,NJ,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 10/20/20 DISBURSEMENT,,,2021-11-30 0:00:00,-2500,H,HOUSE,6,H8NJ03073,"PALLONE, FRANK JR.",FRANK,PALLONE,,,JR.,NJ,NEW JERSEY,G2020,,GENERAL,2020,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,LONG BRANCH,7740,CONTRIBUTIONS,,2022,SB,4020220221404097958,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613450,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613458,23,7DA31DE4FFE2542560A,1562724,CCM,CAMPAIGN COMMITTEE,C00457325,C00457325,SHAHEEN FOR SENATE,DC,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 9/24/20 DISBURSEMENT,,,2021-11-30 0:00:00,-2500,S,SENATE,,S0NH00219,"SHAHEEN, JEANNE",JEANNE,SHAHEEN,,,,NH,NEW HAMPSHIRE,G2020,,GENERAL,2020,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,WASHINGTON,20033,CONTRIBUTIONS,,2022,SB,4020220221404097981,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613458,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M4,202204209500140526,23,0F112F0A0283759BEA4,1589324,CCM,CAMPAIGN COMMITTEE,C00369801,C00369801,DAVID SCOTT FOR CONGRESS,GA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/2/21 DISBURSEMENT,,,2022-03-17 0:00:00,-2500,H,HOUSE,13,H2GA13012,"SCOTT, DAVID ALBERT",DAVID,SCOTT,ALBERT,,,GA,GEORGIA,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-05-05 3:35:02,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4042020221470986607,RIVERDALE,30296,CONTRIBUTIONS,,2022,SB,4050420221474454284,https://docquery.fec.gov/cgi-bin/fecimg/?202204209500140526,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M8,202208119525263340,23,BA9D97E062838042ED5,1623070,CCM,CAMPAIGN COMMITTEE,C00200584,C00200584,UPTON FOR ALL OF US,MI,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 9/16/21 DISBURSEMENT,,,2022-07-11 0:00:00,-2500,H,HOUSE,6,H6MI04113,"UPTON, FREDERICK STEPHEN",FREDERICK,UPTON,STEPHEN,,,MI,MICHIGAN,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-08-13 3:34:27,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4081120221563943055,SAINT JOSEPH,490850490,CONTRIBUTIONS,,2022,SB,4081220221564732235,https://docquery.fec.gov/cgi-bin/fecimg/?202208119525263340,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M9,202209199528517767,23,B4B10E14DF09963A859,1630409,CCM,CAMPAIGN COMMITTEE,C00096412,C00096412,FRIENDS OF CHRIS SMITH,NJ,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 9/23/21 DISBURSEMENT,,,2022-08-09 0:00:00,-2500,H,HOUSE,4,H8NJ04014,"SMITH, CHRISTOPHER H.",CHRISTOPHER,SMITH,H.,,,NJ,NEW JERSEY,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-09-20 3:36:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4091920221576021136,TOMS RIVER,87541266,CONTRIBUTIONS,,2022,SB,4091920221576057140,https://docquery.fec.gov/cgi-bin/fecimg/?202209199528517767,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M9,202209199528517770,23,47A5368DFBC4B1A313D,1630409,CCM,CAMPAIGN COMMITTEE,C00310532,C00310532,KAY GRANGER CAMPAIGN FUND,TX,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 9/16/21 DISBURSEMENT,,,2022-08-09 0:00:00,-2500,H,HOUSE,12,H6TX12060,"GRANGER, KAY",KAY,GRANGER,,,,TX,TEXAS,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-09-20 3:36:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4091920221576021136,FORT WORTH,761076547,CONTRIBUTIONS,,2022,SB,4091920221576057147,https://docquery.fec.gov/cgi-bin/fecimg/?202209199528517770,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M9,202209199528517770,23,D1B6C9B160772C57DF4,1630409,CCM,CAMPAIGN COMMITTEE,C00438697,C00438697,LATTA FOR CONGRESS,OH,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/30/21 DISBURSEMENT,,,2022-08-09 0:00:00,-2500,H,HOUSE,5,H8OH05036,"LATTA, ROBERT E.",ROBERT,LATTA,E.,,,OH,OHIO,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-09-20 3:36:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4091920221576021136,BOWLING GREEN,434020106,CONTRIBUTIONS,,2022,SB,4091920221576057149,https://docquery.fec.gov/cgi-bin/fecimg/?202209199528517770,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M9,202209199528517774,23,EF9347874C5B0879742,1630409,CCM,CAMPAIGN COMMITTEE,C00706614,C00706614,TONY GONZALES FOR CONGRESS,TX,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/30/21 DISBURSEMENT,,,2022-08-09 0:00:00,-2500,H,HOUSE,23,H0TX35015,"GONZALES, TONY II",TONY,GONZALES,,,II,TX,TEXAS,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-09-20 3:36:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4091920221576021136,SHAVANO PARK,78231,CONTRIBUTIONS,,2022,SB,4091920221576057160,https://docquery.fec.gov/cgi-bin/fecimg/?202209199528517774,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2022,M9,202209199528517768,23,40BB3BE950CAFB4EC6C,1630409,CCM,CAMPAIGN COMMITTEE,C00527457,C00527457,FRIENDS OF DAVE JOYCE,OH,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/30/21 DISBURSEMENT,,,2022-08-09 0:00:00,-1500,H,HOUSE,14,H2OH14064,"JOYCE, DAVID PATRICK",DAVID,JOYCE,PATRICK,,,OH,OHIO,P2022,,PRIMARY,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-09-20 3:36:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4091920221576021136,DUBLIN,430178914,CONTRIBUTIONS,,2022,SB,4091920221576057141,https://docquery.fec.gov/cgi-bin/fecimg/?202209199528517768,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613390,23,662581170881C647603,1562724,CCM,CAMPAIGN COMMITTEE,C00701953,C00701953,ADRIANO ESPAILLAT FOR CONGRESS,NY,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 1/23/20 DISBURSEMENT,,,2021-11-30 0:00:00,-1000,H,HOUSE,13,H2NY13096,"ESPAILLAT, ADRIANO",ADRIANO,ESPAILLAT,,,,NY,NEW YORK,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:08,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,NEW YORK,10034,CONTRIBUTIONS,,2022,SB,4020220221404097777,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613390,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613403,23,E935EED49A91815E45E,1562724,CCM,CAMPAIGN COMMITTEE,C00167585,C00167585,CITIZENS FOR WATERS,CA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 10/19/20 DISBURSEMENT,,,2021-11-30 0:00:00,-1000,H,HOUSE,43,H4CA23011,"WATERS, MAXINE",MAXINE,WATERS,,,,CA,CALIFORNIA,G2020,,GENERAL,2020,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:08,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,LONG BEACH,90802,CONTRIBUTIONS,,2022,SB,4020220221404097816,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613403,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613408,23,906BA95DB52DADD6AD7,1562724,CCM,CAMPAIGN COMMITTEE,C00581074,C00581074,DARREN SOTO FOR CONGRESS,FL,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 1/23/20 DISBURSEMENT,,,2021-11-30 0:00:00,-1000,H,HOUSE,9,H6FL09179,"SOTO, DARREN MICHAEL",DARREN,SOTO,MICHAEL,,,FL,FLORIDA,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:08,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,KISSIMMEE,34742,CONTRIBUTIONS,,2022,SB,4020220221404097832,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613408,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613412,23,A28A1F4B134055BA03B,1562724,CCM,CAMPAIGN COMMITTEE,C00674259,C00674259,DR JOHN JOYCE FOR CONGRESS,PA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 9/8/20 DISBURSEMENT,,,2021-11-30 0:00:00,-1000,H,HOUSE,13,H8PA13125,"JOYCE, JOHN",JOHN,JOYCE,,,,PA,PENNSYLVANIA,G2020,,GENERAL,2020,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:08,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,ALTOONA,16602,CONTRIBUTIONS,,2022,SB,4020220221404097843,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613412,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613418,23,727A3BE44AB786CC2B9,1562724,CCM,CAMPAIGN COMMITTEE,C00527457,C00527457,FRIENDS OF DAVE JOYCE,OH,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 9/8/20 DISBURSEMENT,,,2021-11-30 0:00:00,-1000,H,HOUSE,14,H2OH14064,"JOYCE, DAVID PATRICK",DAVID,JOYCE,PATRICK,,,OH,OHIO,G2020,,GENERAL,2020,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,DUBLIN,430178914,CONTRIBUTIONS,,2022,SB,4020220221404097863,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613418,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613451,23,1B454F8BADCE474145A,1562724,PAC,POLITICAL ACTION COMMITTEE,C00632893,C00632893,"POINT PAC, INC.",GA,"POINT PAC, INC.",,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 12/17/20 DISBURSEMENT,,,2021-11-30 0:00:00,-1000,,,,,,,,,,,,,P2020,CONTRIBUTION,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,ATLANTA,30342,CONTRIBUTIONS,,2022,SB,4020220221404097960,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613451,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613457,23,40215ECA0ABE30416B3,1562724,CCM,CAMPAIGN COMMITTEE,C00512426,C00512426,SEAN PATRICK MALONEY FOR CONGRESS,NY,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 1/23/20 DISBURSEMENT,,,2021-11-30 0:00:00,-1000,H,HOUSE,18,H2NY22139,"MALONEY, SEAN PATRICK",SEAN,MALONEY,PATRICK,,,NY,NEW YORK,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,NEWBURGH,12550,CONTRIBUTIONS,,2022,SB,4020220221404097980,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613457,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2021,YE,202201319475613460,23,D14772663798925AF5A,1562724,CCM,CAMPAIGN COMMITTEE,C00599464,C00599464,SMUCKER FOR CONGRESS,GA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 10/4/20 DISBURSEMENT,,,2021-11-30 0:00:00,-1000,H,HOUSE,11,H6PA16320,"SMUCKER, LLOYD K.",LLOYD,SMUCKER,K.,,,PA,PENNSYLVANIA,G2020,,GENERAL,2020,A,ADD,ITEMIZED DISBURSEMENTS,2022-02-03 3:34:14,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4013120221403740388,ATHENS,30605,CONTRIBUTIONS,,2022,SB,4020220221404097988,https://docquery.fec.gov/cgi-bin/fecimg/?202201319475613460,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
